V1,V2
-1.195333,1.014048
-0.600266,-0.407509
-1.784749,-3.021942
0.292319,-1.158245
0.428116,1.510462
-0.871168,-0.954623
-2.268452,-0.208267
-2.689306,-0.811641
0.109905,0.740296
1.087596,-0.799844
-0.871087,-0.36632
0.327638,-0.912688
-0.017336,-0.825026
-0.095635,0.72608
-0.717207,-0.617813
-1.015144,-0.328035
1.290631,0.144901
-1.275277,-0.969825
0.155785,1.412724
2.474001,0.445769
-0.402501,-0.415064
-0.915288,-0.641543
1.657018,-0.052028
0.106231,-0.772306
1.951295,0.839652
-1.425995,-0.187047
-0.47113,0.9832
0.248005,0.701863
1.191962,-0.131665
1.043086,0.51643
0.638883,1.086913
0.085589,0.309891
-0.616265,-0.772637
-0.145896,0.019855
-0.750568,1.662211
-4.097137,-0.51429
-1.343496,1.147192
-0.55834,0.71335
-1.272725,-1.354803
-0.53745,0.315264
-0.474265,-0.323879
0.493778,-1.277247
1.270107,-0.278245
-0.024887,-1.75745
0.474619,-0.079262
2.089664,-0.717699
0.266901,-0.603957
-0.46202,-0.273731
-0.849073,1.003289
1.109528,-0.242194
-1.504888,0.198572
1.357929,-1.075058
1.333958,0.128219
-1.331865,-0.818356
-1.408751,1.141755
0.399994,-1.498262
-1.527695,-0.501879
-0.336772,0.585279
0.216157,-1.03585
-1.193244,-0.187053
-0.768469,1.163809
0.945082,1.027008
-0.538968,0.21084
-0.943373,-0.746924
1.249691,-0.897064
0.086925,-1.997994
-0.547113,-0.854356
-0.803632,-0.938802
-0.28844,0.320937
1.707119,1.126956
-0.386697,-1.244388
-0.660029,-3.054867
-0.676753,0.422778
0.919543,-0.032993
-1.225882,-0.877686
0.109383,0.297982
-2.410779,0.653431
-1.676299,1.803813
0.89653,0.5191
-1.067891,-1.412177
-0.105063,-0.459229
-0.27816,0.671636
-2.141363,0.657701
-0.536642,-0.927596
-0.481749,-0.05746
0.470523,-0.676988
-1.455522,-0.373976
1.543689,1.018026
1.017043,-0.043616
1.153202,-2.17285
-1.403392,0.497966
0.398302,0.771757
-0.610368,0.357
-0.816889,-0.424386
1.161511,0.307635
-0.637198,1.119286
-0.234815,-0.444815
-1.160487,-0.081041
0.447779,-0.10465
0.656865,-0.300773
-1.785713,-1.053501
0.211466,-0.754027
0.872005,1.556246
0.544429,-0.226461
1.140362,-0.997412
-1.456789,0.077336
1.969058,0.89825
-0.127071,0.423592
0.122408,-1.165023
-0.840976,-1.078071
-1.121536,-0.349048
0.645255,0.493107
-0.016312,0.009176
0.419096,-0.795548
0.09945,1.294473
-1.128942,-0.145039
1.597005,0.567408
0.825135,1.080157
0.043902,1.481011
0.816967,0.132453
2.286621,-0.804199
-0.185835,0.646842
-0.460583,-0.879132
0.351293,0.176922
0.451607,1.461632
-0.74993,-0.243977
1.970038,0.424002
-0.393902,1.855583
0.854758,1.012908
0.899407,-0.132781
-0.632494,-0.299453
0.569304,0.642535
-0.107137,1.090629
-0.22818,0.491023
1.098166,1.343433
0.208932,0.37076
0.941818,-0.358741
0.01061,-1.024988
-1.27374,0.811347
0.585117,-0.442047
0.453386,-1.285126
0.469842,-2.420602
0.764336,-1.780802
0.794726,0.690006
-1.813216,0.337188
-0.67836,-0.717065
-0.094912,0.252038
0.357914,-0.414023
0.764067,0.753945
0.454546,-0.56732
-0.815621,0.262067
-1.079152,0.909496
0.208762,-0.148064
-0.422064,0.04359
-0.010062,0.32304
0.320611,1.490382
0.355436,-0.225674
0.310244,0.197653
-1.001526,-1.128155
0.08361,0.622898
0.4431,-0.680788
1.19752,-0.208402
-1.404249,-0.057086
1.942445,-1.098286
0.068711,-0.013584
0.95654,-0.746736
-1.70076,-0.185962
0.738497,-0.204596
0.812016,0.047913
-0.626579,0.422753
0.550175,0.371263
-0.372181,0.519155
1.242479,-0.568581
-1.321146,-0.479563
0.677102,1.202025
-0.495363,0.33537
-0.63107,0.45202
-0.832516,0.336723
-0.171001,0.862135
-1.058546,-1.048694
-1.069897,-0.268622
-1.036025,0.4316
-1.248902,0.361754
0.379576,0.452496
1.225164,0.188703
0.049301,-1.437882
-0.485156,-0.501635
-1.080694,1.256699
-1.228023,0.96037
-2.2671,-1.254651
-0.048642,-0.748837
0.161337,-1.031439
0.287596,-0.177423
-1.034922,-0.572295
1.314891,0.913381
2.571586,0.678814
-0.999984,1.262804
-0.481342,-1.140649
0.431836,0.622308
